club,last_name,first_name,position,base_salary,guaranteed_compensation,
RSL,Beltran,Anthony,D,220000,230950,Anthony Beltran
RSL,Dunk,Reagan,D,53004,53004,Reagan Dunk
RSL,Fernandez,Eduardo,GK,66150,66150,Eduardo Fernandez
RSL,Glad,Justen,D,225000,246700,Justen Glad
RSL,Hernandez,Jose,M,53004,56379,Jose Hernandez
RSL,Holness,Omar,F,110000,133500,Omar Holness
RSL,Horst,David,D,110004,115004,David Horst
RSL,Lennon,Brooks,F,53004,53004,Brooks Lennon
RSL,Maund,Aaron,D,165000,174437.5,Aaron Maund
RSL,Movsisyan,Yura,F,1750000,1973750,Yura Movsisyan
RSL,Mulholland,Luke,M,172500,172500,Luke Mulholland
RSL,Phillips,Demar,D,155004,162837.33,Demar Phillips
RSL,Plata,Joao,F,350000.04,400000.04,Joao Plata
RSL,Rimando,Nick,GK,450000,470000,Nick Rimando
RSL,Rusnak,Albert,M,825000,882812.5,Albert Rusnak
RSL,Saucedo,Sebastian,M,90000,100500,Sebastian Saucedo
RSL,Schmidt,Justin,D,53004,53004,Justin Schmidt
RSL,Schuler,Chris,D,127500,132500,Chris Schuler
RSL,Silva,Luis,M-F,200004,208670.67,Luis Silva
RSL,Sunday,Stephen,M,240000,253000,Stephen Sunday
RSL,Van Oekel,Matt,GK,96000,96000,Matt Van Oekel
RSL,Velazco,Ricardo,F,65633.4,65633.4,Ricardo Velazco
RSL,Wingert,Chris,D,134004,145394,Chris Wingert
SEA,Adekoya,Seyi,F,53004,53004,Seyi Adekoya
SEA,Alfaro,Tony,D,54075,54075,Tony Alfaro
SEA,Alonso,Osvaldo,M,1100000,1141667,Osvaldo Alonso
SEA,Bruin,Will,F,325000,326666.67,Will Bruin
SEA,Delem,Jordy,M,53004,53004,Jordy Delem
SEA,Dempsey,Clint,F,3200000,3892933.5,Clint Dempsey
SEA,Evans,Brad,D-M,300000,338501.25,Brad Evans
SEA,Fernandez,Alvaro,M,264000,294000,Alvaro Fernandez
SEA,Fisher,Oniel,M-D,65625,65625,Oniel Fisher
SEA,Frei,Stefan,GK,250000,256250,Stefan Frei
SEA,Jones,Joevin,D,90000,96166.67,Joevin Jones
SEA,Kovar,Aaron,M,66150,66350,Aaron Kovar
SEA,Lodeiro,Nicolas,M,1371428.57,1743428.57,Nicolas Lodeiro
SEA,Mansaray,Victor,F,65625,69125,Victor Mansaray
SEA,Marshall,Chad,D,350000,366250,Chad Marshall
SEA,Mathers,Zach,M,53004,53004,Zach Mathers
SEA,Meredith,Bryan,GK,66150,66150,Bryan Meredith
SEA,Miller,Tyler,GK,65633.4,65633.4,Tyler Miller
SEA,Morris,Jordan,F,225000,237500,Jordan Morris
SEA,Roldan,Cristian,M,115000,137000,Cristian Roldan
SEA,Shipp,Harrison,M,144999.96,144999.96,Harrison Shipp
SEA,Svensson,Gustav,M,170000.04,170000.04,Gustav Svensson
SEA,Tolo,Nouhou,D,52999.92,52999.92,Nouhou Tolo
SEA,Torres,Roman,D,433000,508812.5,Roman Torres
SEA,Wingo,Henry,D-M,53004,53004,Henry Wingo
SJ,Alashe,Fatai,M,98175,114425,Fatai Alashe
SJ,Amarikwa,Quincy,F,256500,270166.67,Quincy Amarikwa
SJ,Barrera,Leandro,F,100000,100000,Leandro Barrera
SJ,Bernardez,Victor,D,225000,266600,Victor Bernardez
SJ,Bersano,Matt,GK,65004,65004,Matt Bersano
SJ,Bingham,David,GK,190000,197750,David Bingham
SJ,Cato,Cordell,M,137000,138666.67,Cordell Cato
SJ,Ceren,Darwin,M,200000,249375,Darwin Ceren
SJ,Colvey,Kip,D,54075,54075,Kip Colvey
SJ,Cummings,Harold,D,249996,300662.67,Harold Cummings
SJ,Dawkins,Simon,M,800000,800000,Simon Dawkins
SJ,Francis,Shaun,D,115000,123333.33,Shaun Francis
SJ,Godoy,Anibal,M,229992,256242,Anibal Godoy
SJ,Hoesen,Danny,F,425004,503129,Danny Hoesen
SJ,Hyka,Jahmir,M,470004,520004,Jahmir Hyka
SJ,Imperiale,Andres,D,105000,107500,Andres Imperiale
SJ,Jungwirth,Florian,D-M,450000,516667.07,Florian Jungwirth
SJ,Lima,Nick,D,80004,86208.03,Nick Lima
SJ,Mfeka,Lindo,M-F,53004,53004,Lindo Mfeka
SJ,Pelosi,Marc,M,65004,75004,Marc Pelosi
SJ,Salinas,Shea,M,185000,185000,Shea Salinas
SJ,Sarkodie,Kofi,D,135000,140000,Kofi Sarkodie
SJ,Silva,Matheus,M,65000,65000,Matheus Silva
SJ,Tarbell,Andrew,GK,80000,94000,Andrew Tarbell
